year,winner,winningParty,state,total,p1_votes,p1_percent,p1_EV,p2_votes,p2_percent,p2_EV,p3_votes,p3_percent,p3_EV,p4_votes,p4_percent,p4_EV,notes
1789,Washington,Other,Connecticut,0,7,,0,0,,0,0,,0,0,,0,Electoral votes only
1789,Washington,Other,Delaware,0,3,,0,0,,0,0,,0,0,,0,Electoral votes only
1789,Washington,Other,Georgia,0,5,,0,0,,0,0,,0,0,,0,Electoral votes only
1789,Washington,Other,Maryland,0,6,,0,0,,0,0,,0,0,,0,Electoral votes only
1789,Washington,Other,Massachusetts,0,10,,0,0,,0,0,,0,0,,0,Electoral votes only
1789,Washington,Other,New_Hampshire,0,5,,0,0,,0,0,,0,0,,0,Electoral votes only
1789,Washington,Other,New_Jersey,0,6,,0,0,,0,0,,0,0,,0,Electoral votes only
1789,Washington,Other,Pennsylvania,0,10,,0,0,,0,0,,0,0,,0,Electoral votes only
1789,Washington,Other,South_Carolina,0,7,,0,0,,0,0,,0,0,,0,Electoral votes only
1789,Washington,Other,Virginia,0,10,,0,0,,0,0,,0,0,,0,Electoral votes only
1792,Washington,Other,Massachusetts,0,16,,0,0,,0,0,,0,0,,0,Electoral votes only
1792,Washington,Other,Rhode_Island,0,4,,0,0,,0,0,,0,0,,0,Electoral votes only
1792,Washington,Other,Connecticut,0,9,,0,0,,0,0,,0,0,,0,Electoral votes only
1792,Washington,Other,New_Jersey,0,7,,0,0,,0,0,,0,0,,0,Electoral votes only
1792,Washington,Other,Delaware,0,3,,0,0,,0,0,,0,0,,0,Electoral votes only
1792,Washington,Other,Maryland,0,8,,0,0,,0,0,,0,0,,0,Electoral votes only
1792,Washington,Other,Vermont,0,3,,0,0,,0,0,,0,0,,0,Electoral votes only
1792,Washington,Other,New_Hampshire,0,6,,0,0,,0,0,,0,0,,0,Electoral votes only
1792,Washington,Other,New_York,0,12,,0,0,,0,0,,0,0,,0,Electoral votes only
1792,Washington,Other,Pennsylvania,0,15,,0,0,,0,0,,0,0,,0,Electoral votes only
1792,Washington,Other,Virginia,0,21,,0,0,,0,0,,0,0,,0,Electoral votes only
1792,Washington,Other,Kentucky,0,4,,0,0,,0,0,,0,0,,0,Electoral votes only
1792,Washington,Other,North_Carolina,0,12,,0,0,,0,0,,0,0,,0,Electoral votes only
1792,Washington,Other,South_Carolina,0,8,,0,0,,0,0,,0,0,,0,Electoral votes only
1792,Washington,Other,Georgia,0,4,,0,0,,0,0,,0,0,,0,Electoral votes only
1796,Adams,Federalist,Connecticut,0,9,,0,0,,0,0,,0,0,,0,Electoral votes only
1796,Adams,Federalist,Delaware,0,3,,0,0,,0,0,,0,0,,0,Electoral votes only
1796,Adams,Democratic-Republican,Georgia,0,0,,0,4,,0,0,,0,0,,0,Electoral votes only
1796,Adams,Democratic-Republican,Kentucky,0,0,,0,4,,0,0,,0,0,,0,Electoral votes only
1796,Adams,Federalist,Maryland,0,7,,0,4,,0,0,,0,0,,0,Electoral votes only
1796,Adams,Federalist,Massachusetts,0,16,,0,0,,0,0,,0,0,,0,Electoral votes only
1796,Adams,Federalist,New_Hampshire,0,6,,0,0,,0,0,,0,0,,0,Electoral votes only
1796,Adams,Federalist,New_Jersey,0,7,,0,0,,0,0,,0,0,,0,Electoral votes only
1796,Adams,Federalist,New_York,0,12,,0,0,,0,0,,0,0,,0,Electoral votes only
1796,Adams,Democratic-Republican,North_Carolina,0,1,,0,11,,0,0,,0,0,,0,Electoral votes only
1796,Adams,Democratic-Republican,Pennsylvania,0,1,,0,14,,0,0,,0,0,,0,Electoral votes only
1796,Adams,Federalist,Rhode_Island,0,4,,0,0,,0,0,,0,0,,0,Electoral votes only
1796,Adams,Democratic-Republican,South_Carolina,0,0,,0,8,,0,0,,0,0,,0,Electoral votes only
1796,Adams,Democratic-Republican,Tennessee,0,0,,0,3,,0,0,,0,0,,0,Electoral votes only
1796,Adams,Federalist,Vermont,0,4,,0,0,,0,0,,0,0,,0,Electoral votes only
1796,Adams,Democratic-Republican,Virginia,0,1,,0,20,,0,0,,0,0,,0,Electoral votes only
1800,Jefferson,Federalist,Connecticut,0,0,,0,9,,0,0,,0,0,,0,Electoral votes only
1800,Jefferson,Federalist,Delaware,0,0,,0,3,,0,0,,0,0,,0,Electoral votes only
1800,Jefferson,Democratic-Republican,Georgia,0,4,,0,0,,0,0,,0,0,,0,Electoral votes only
1800,Jefferson,Democratic-Republican,Kentucky,0,4,,0,0,,0,0,,0,0,,0,Electoral votes only
1800,Jefferson,Democratic-Republican,Maryland,0,5,,0,5,,0,0,,0,0,,0,Electoral votes only
1800,Jefferson,Federalist,Massachusetts,0,0,,0,16,,0,0,,0,0,,0,Electoral votes only
1800,Jefferson,Federalist,New_Hampshire,0,0,,0,6,,0,0,,0,0,,0,Electoral votes only
1800,Jefferson,Federalist,New_Jersey,0,0,,0,7,,0,0,,0,0,,0,Electoral votes only
1800,Jefferson,Democratic-Republican,New_York,0,12,,0,0,,0,0,,0,0,,0,Electoral votes only
1800,Jefferson,Democratic-Republican,North_Carolina,0,8,,0,4,,0,0,,0,0,,0,Electoral votes only
1800,Jefferson,Democratic-Republican,Pennsylvania,0,8,,0,7,,0,0,,0,0,,0,Electoral votes only
1800,Jefferson,Federalist,Rhode_Island,0,0,,0,4,,0,0,,0,0,,0,Electoral votes only
1800,Jefferson,Democratic-Republican,South_Carolina,0,8,,0,0,,0,0,,0,0,,0,Electoral votes only
1800,Jefferson,Democratic-Republican,Tennessee,0,3,,0,0,,0,0,,0,0,,0,Electoral votes only
1800,Jefferson,Federalist,Vermont,0,0,,0,4,,0,0,,0,0,,0,Electoral votes only
1800,Jefferson,Democratic-Republican,Virginia,0,21,,0,0,,0,0,,0,0,,0,Electoral votes only
1804,Jefferson,Federalist,Connecticut,0,0,,0,9,,0,0,,0,0,,0,Electoral votes only
1804,Jefferson,Federalist,Delaware,0,0,,0,3,,0,0,,0,0,,0,Electoral votes only
1804,Jefferson,Democratic-Republican,Georgia,0,6,,0,0,,0,0,,0,0,,0,Electoral votes only
1804,Jefferson,Democratic-Republican,Kentucky,0,8,,0,0,,0,0,,0,0,,0,Electoral votes only
1804,Jefferson,Democratic-Republican,Maryland,0,9,,0,2,,0,0,,0,0,,0,Electoral votes only
1804,Jefferson,Democratic-Republican,Massachusetts,0,19,,0,0,,0,0,,0,0,,0,Electoral votes only
1804,Jefferson,Democratic-Republican,New_Hampshire,0,7,,0,0,,0,0,,0,0,,0,Electoral votes only
1804,Jefferson,Democratic-Republican,New_Jersey,0,8,,0,0,,0,0,,0,0,,0,Electoral votes only
1804,Jefferson,Democratic-Republican,New_York,0,19,,0,0,,0,0,,0,0,,0,Electoral votes only
1804,Jefferson,Democratic-Republican,North_Carolina,0,14,,0,0,,0,0,,0,0,,0,Electoral votes only
1804,Jefferson,Democratic-Republican,Ohio,0,3,,0,0,,0,0,,0,0,,0,Electoral votes only
1804,Jefferson,Democratic-Republican,Pennsylvania,0,20,,0,0,,0,0,,0,0,,0,Electoral votes only
